"Group.1","ndvi","ndvi.se","agb","agb.se","Ks","Ks.se","td.7.19","td.7.19.se","td.8.3","td.8.3.se","moss","moss.se"
"1",0.398666666666667,0.0118267922900935,0.899723319585107,0.899723319585107,0.401111111111111,0.0587429533467737,71.9,4.21722657679191,78.5,3.4314719873547,0,0
"2",0.611428571428571,0.00618906718256208,69.136700529491,14.7127947223139,0.120111111111111,0.0240615209436864,26.4,3.97303410506379,36.2,6.11678019876471,52,10.5593560409714
"3",0.631428571428571,0.00790445297070526,210.575724617378,45.9803335170745,0.0662222222222222,0.00591086047923128,33.7,8.71865815363809,48.1,7.85557127139714,34,8.86002257333467
