"","ndvi","agb","Ks","td7.19","td8.3","moss"
"2-1",4.63629135083465e-13,0.728954383857579,4.39552434620127e-05,0.000491661884757355,0.000953596131047063,0.00157858884694118
"3-1",4.63629135083465e-13,0.0891111502118901,3.4598589546686e-06,0.00204440131385786,0.0105998239731565,0.0267003126245823
"3-2",0.287028249133229,0.0449636224538617,0.562440491978416,0.677988017232192,0.379385427586409,0.283375216994262
