date,time,plot,td1,td2,td,Ks,sm,Tsoil,Tsurf,Tair,par,sw,par.met,Tair.met,p.Kpa,rh.met
8/1/13,15:57,5.1,73,68.5,70.8,,,3.9,4,10.2,174,90,286.2,6.94,101.8,87
8/1/13,16:00,5.2,37,26,31.5,,,2.4,3.9,8.8,134,70,286.2,6.94,101.8,87
8/1/13,16:05,5.3,22,71,46.5,,,2.4,3.5,8.5,128,66,143.7,6.433,101.8,89.2
8/3/13,11:33,1.1,72,85,78.5,,,3.6,14.3,16.5,526,280,858.7,7.695,100.7,67.5
8/3/13,11:45,1.2,29,32,30.5,,,1.8,10.9,14.8,487,249,858.7,7.695,100.7,67.5
8/3/13,11:38,1.3,59,61,60,,,2.6,9.7,13.3,478,249,858.7,7.695,100.7,67.5
8/3/13,11:57,2.1,85,81,83,,,3.8,22,20.7,1391,732,858.7,7.695,100.7,67.5
8/3/13,12:03,2.2,32,48,40,,,2.2,15.7,,509,241,1046.2,7.995,100.7,65.3
8/3/13,12:08,2.3,24,32,28,,,1.9,16.7,,1550,509,1046.2,7.995,100.7,65.3
8/3/13,12:17,3.1,86,91,88.5,,,5.4,13.7,,613,333,1046.2,7.995,100.7,65.3
8/3/13,12:28,3.2,29,31,30,,,1.7,10.5,,640,320,1046.2,7.995,100.7,65.3
8/3/13,12:22,3.3,28,37,32.5,,,3.2,8,,1279,591,1046.2,7.995,100.7,65.3
8/3/13,12:38,4.1,70,68,69,,,3.5,22.3,,1422,820,1036.2,8.295,100.7,63.6
8/3/13,12:43,4.2,46,70,58,,,3.4,16.7,,723,308,1036.2,8.295,100.7,63.6
8/3/13,12:49,4.3,83,55,69,,,4.1,14.6,,648,322,1036.2,8.295,100.7,63.6
8/3/13,13:00,5.1,76,71,73.5,,,4.3,27.8,,1188,514,1036.2,8.295,100.7,63.6
8/3/13,13:05,5.2,23,22,22.5,,,1.5,18.8,,1093,606,1321.2,8.916,100.7,63
8/3/13,13:12,5.3,48,54,51,,,2.8,16.1,,968,520,1321.2,8.916,100.7,63
8/4/13,18:07,1.1,,,,,,5.8,13.9,,524,322,721.2,12.509,99.7,53.9
8/4/13,18:17,1.2,,,,,,2.7,10.4,,255,145,721.2,12.509,99.7,53.9
8/4/13,18:12,1.3,,,,,,4.2,10,,504,288,721.2,12.509,99.7,53.9
8/4/13,18:23,2.1,,,,,,4,11.8,,355,225,721.2,12.509,99.7,53.9
8/4/13,18:29,2.2,,,,,,1.5,9.8,,335,198,721.2,12.509,99.7,53.9
8/4/13,18:34,2.3,,,,,,1.8,10.1,,247,132,616.2,11.832,99.7,55
8/4/13,17:49,3.1,,,,,,5.5,11.1,,505,230,828.7,12.968,99.7,53.5
8/4/13,17:58,3.2,,,,,,2.8,12.3,,286,277,828.7,12.968,99.7,53.5
8/4/13,17:54,3.3,,,,,,3.1,10.6,,487,291,828.7,12.968,99.7,53.5
8/4/13,17:33,4.1,,,,,,3.7,10.4,,11,42,828.7,12.968,99.7,53.5
8/4/13,17:36,4.2,,,,,,3.6,9.3,,264,130,828.7,12.968,99.7,53.5
8/4/13,17:42,4.3,,,,,,4.9,11.2,,466,176,828.7,12.968,99.7,53.5
8/4/13,17:13,5.1,,,,,,4.6,14.1,,510,298,923.7,13.305,99.7,51
8/4/13,17:19,5.2,,,,,,6,14.1,,516,300,923.7,13.305,99.7,51
8/4/13,17:24,5.3,,,,,,7.2,15.2,,429,295,923.7,13.305,99.7,51
